"unidade_ensino","modalidade_ensino","tipo_curso","tipo_oferta","Ano","Status_Matricula","Quantidade"
"CSSB","Educação Presencial","FORMACAO INICIAL","Outros","2009","matriculado",0
"CSSB","Educação Presencial","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"CSSB","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"CSSB","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CSSB","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"CSSB","Educação Presencial","TECNOLOGIA","Outros","2009","matriculado",0
"CTAG","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
"CTAG","Educação Presencial","BACHARELADO","Outros","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO INICIAL","Concomitante","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO INICIAL","Outros","2009","matriculado",0
"CTAG","Educação Presencial","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"CTAG","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","PROEJA - Integrado","2009","matriculado",0
"CTAG","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"CTAG","Educação Presencial","TECNOLOGIA","Outros","2009","matriculado",0
"CTGC","Educação a Distancia","TÉCNICO","PROEJA - Integrado","2009","matriculado",0
"CTGC","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
"CTGC","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2009","matriculado",0
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2009","matriculado",0
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
